id,neighborhood,sq_m,rooms,bathrooms,floors,sq_m_allotment,floor,neighborhood_id,price,house_type_id,is_renewal_needed,has_ac,has_fitted_wardrobes,has_lift,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,parking_included,parking_price,orientation_north,orientation_west,orientation_south,orientation_east,house_type,district_id,district
21654,San Cristobal,65.0,3,1,0,0.0,1,135,94000.0,1.0,False,True,True,False,False,False,True,False,False,False,False,False,0.0,False,False,False,True,Apartment,21,Villaverde
21653,Los Rosales,110.0,4,2,0,0.0,1,133,175000.0,1.0,False,False,True,False,False,False,True,True,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21652,Villaverde,173.0,4,2,0,0.0,2,131,268000.0,1.0,False,True,True,True,False,True,False,False,True,False,True,True,0.0,True,False,True,False,Apartment,21,Villaverde
21651,Villaverde,75.0,2,1,0,0.0,3,134,156000.0,3.0,False,True,True,True,False,False,True,False,True,False,False,False,0.0,False,False,False,False,Penthouse,21,Villaverde
21650,Butarque,90.0,1,1,0,0.0,7,131,183159.0,3.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Penthouse,21,Villaverde
21649,Los Rosales,125.0,3,2,0,0.0,1,133,210000.0,1.0,False,True,True,True,False,False,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21648,San Andres,58.0,2,1,0,0.0,0,134,85000.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21647,Los Angeles,92.0,3,1,0,0.0,6,132,159900.0,1.0,False,True,False,True,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21646,San Andres,70.0,2,1,0,0.0,3,134,117000.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,0.0,True,False,True,False,Apartment,21,Villaverde
21645,San Andres,54.0,2,1,0,0.0,2,134,110000.0,1.0,False,False,False,False,False,False,False,True,False,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21644,Villaverde,52.0,2,1,0,0.0,1,133,100000.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21643,San Andres,108.0,3,1,0,0.0,2,134,140000.0,1.0,False,True,True,False,False,False,True,False,False,False,False,False,0.0,False,True,False,True,Apartment,21,Villaverde
21642,Los Rosales,65.0,2,1,0,0.0,3,133,106500.0,1.0,False,True,True,False,False,False,True,False,False,False,False,False,0.0,False,False,True,False,Apartment,21,Villaverde
21641,Los Rosales,102.0,3,2,0,0.0,3,133,127500.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,True,False,False,Apartment,21,Villaverde
21640,San Andres,80.0,2,1,0,0.0,3,134,148000.0,1.0,False,True,True,True,False,False,True,False,True,True,True,True,0.0,False,False,False,True,Apartment,21,Villaverde
21639,Butarque,108.0,2,1,0,0.0,4,131,205000.0,2.0,False,True,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,True,Duplex,21,Villaverde
21638,Los Rosales,80.0,3,2,0,0.0,4,133,220000.0,1.0,False,True,True,True,False,True,False,False,False,True,True,True,0.0,False,False,True,True,Apartment,21,Villaverde
21637,Los Rosales,16.0,3,1,0,0.0,1,133,114000.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,True,True,Apartment,21,Villaverde
21636,San Andres,54.0,2,1,0,0.0,3,134,89900.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,0.0,False,False,True,True,Apartment,21,Villaverde
21635,Los Rosales,70.0,2,2,0,0.0,4,133,210000.0,1.0,False,True,True,True,False,True,False,False,True,True,True,True,0.0,False,True,True,False,Apartment,21,Villaverde
21634,San Andres,99.0,2,2,0,0.0,1,134,145000.0,1.0,False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,True,True,False,Apartment,21,Villaverde
21633,Los Rosales,123.0,4,2,0,0.0,3,133,275000.0,1.0,False,True,False,True,False,False,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21632,Los Angeles,64.0,3,1,0,0.0,5,132,104000.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21631,Butarque,107.0,3,2,0,0.0,6,131,228629.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21630,Butarque,76.0,2,2,0,0.0,6,131,169021.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21629,Butarque,109.0,3,2,0,0.0,5,131,223022.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21628,Butarque,108.0,3,2,0,0.0,5,131,220072.0,1.0,False,False,False,True,False,True,True,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21627,Butarque,103.0,3,2,0,0.0,6,131,235718.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21626,Butarque,103.0,3,2,0,0.0,1,131,245000.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21625,Butarque,143.0,3,2,0,0.0,0,131,260000.0,1.0,False,False,False,True,False,True,False,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21624,Butarque,99.0,3,2,0,0.0,6,131,235000.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21623,Butarque,100.0,3,2,0,0.0,3,131,235000.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21622,Butarque,176.0,2,2,0,0.0,6,131,265000.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21621,Butarque,87.0,2,2,0,0.0,2,131,190000.0,1.0,False,False,False,True,False,True,False,False,True,False,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21620,Butarque,106.0,3,2,0,0.0,4,131,256115.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21619,Butarque,113.0,3,2,0,0.0,0,131,261989.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21618,Butarque,115.0,3,2,0,0.0,1,131,273353.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21617,Butarque,129.0,3,2,0,0.0,7,131,297621.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21616,Butarque,115.0,3,2,0,0.0,6,131,279778.0,1.0,False,False,False,True,False,True,True,False,False,True,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21615,Villaverde,110.0,2,2,0,0.0,0,134,135000.0,1.0,True,True,False,False,False,False,True,False,True,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21614,Los Angeles,90.0,3,2,0,0.0,2,132,195000.0,1.0,False,True,False,True,False,False,True,False,True,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21613,Los Rosales,60.0,2,1,0,0.0,1,133,126900.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21612,Los Angeles,54.0,2,1,0,0.0,1,132,136400.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21611,San Andres,80.0,3,1,0,0.0,0,134,145000.0,1.0,False,True,True,False,False,False,True,False,False,False,False,False,0.0,False,False,False,True,Apartment,21,Villaverde
21610,San Andres,73.0,2,1,0,0.0,1,134,127500.0,1.0,False,False,True,True,False,False,False,False,False,False,False,False,0.0,False,True,False,True,Apartment,21,Villaverde
21609,San Andres,122.0,3,2,0,0.0,0,134,179000.0,1.0,False,False,False,True,False,False,False,False,False,False,True,True,0.0,False,True,True,False,Apartment,21,Villaverde
21608,Butarque,98.0,3,2,0,0.0,0,131,266122.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,True,False,False,Apartment,21,Villaverde
21607,Butarque,97.0,3,2,0,0.0,0,131,261989.0,1.0,False,True,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21606,Butarque,111.0,3,2,0,0.0,7,131,297621.0,3.0,False,True,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Penthouse,21,Villaverde
21605,Butarque,99.0,3,2,0,0.0,3,131,251569.0,1.0,False,True,True,True,False,True,True,False,True,True,True,True,0.0,False,True,False,False,Apartment,21,Villaverde
21604,Villaverde,77.0,3,1,0,0.0,1,133,113500.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,0.0,True,False,False,False,Apartment,21,Villaverde
21603,San Andres,85.0,3,1,0,0.0,4,134,138000.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21602,Butarque,90.0,3,2,0,0.0,2,131,225000.0,1.0,False,True,True,True,False,True,False,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21601,Los Rosales,133.0,2,1,0,0.0,6,133,264000.0,1.0,False,True,True,True,False,True,True,True,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21600,Los Rosales,60.0,3,1,0,0.0,2,133,98260.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21599,Butarque,133.0,3,3,0,0.0,7,131,275000.0,1.0,False,False,True,True,False,True,True,False,True,False,False,False,0.0,False,False,False,False,Apartment,21,Villaverde
21598,San Andres,85.0,2,1,0,0.0,2,134,124000.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0.0,False,False,True,True,Apartment,21,Villaverde
21597,Los Angeles,59.0,2,2,0,0.0,3,132,164513.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21596,Los Angeles,59.0,2,2,0,0.0,1,132,164416.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21595,Los Angeles,58.0,2,2,0,0.0,4,132,165435.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21594,Los Angeles,79.0,3,2,0,0.0,1,132,202629.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21593,Los Angeles,60.0,2,2,0,0.0,0,132,164242.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21592,Los Rosales,121.0,3,2,0,0.0,3,133,260000.0,1.0,False,True,True,True,False,True,True,True,True,True,True,True,0.0,True,False,False,True,Apartment,21,Villaverde
21591,San Andres,126.0,3,2,0,0.0,2,134,294900.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21590,San Andres,134.0,4,2,0,0.0,1,134,319900.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21589,San Andres,111.0,3,2,0,0.0,1,134,259900.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
21588,San Andres,122.0,3,2,0,0.0,2,134,285900.0,1.0,False,False,True,True,False,True,True,False,True,True,True,True,0.0,False,False,False,False,Apartment,21,Villaverde
